company_name(会社名),service_type(サービスタイプ),service_details(サービス詳細),price(価格)
"TV朝日",放送局,"テレビ放送、ニュース、エンターテインメント",-
"グランド ハイアット 東京",ホテル,"宿泊、レストラン、スパ",20000-50000
"モリアートミュージアム",美術館,"現代アート展示、ワークショップ",1500-3000
"ZARA",アパレル,"ファッションアイテム、服、アクセサリー",2000-15000
"スターバックス",カフェ,"コーヒー、軽食、ドリンク",300-1000
"ブルガリ",ジュエリー,"高級ジュエリー、腕時計",10000-500000
"トゥモローランド",アパレル,"ファッションアイテム、服",5000-30000
"フレンチキッチン",レストラン,"フレンチ料理、ワイン",5000-20000
"六本木ヒルズクリニック",医療,"一般診療、予防接種",1000-10000
"エスポワールカフェ",カフェ,"コーヒー、軽食",400-1500
"つば蓮",レストラン,"日本料理、会席料理",8000-30000
"ツジモトメガネ",眼鏡店,"メガネ、サングラス",5000-50000
"ウィッチクリニック 六本木ヒルズ店",美容クリニック,"美容整形、アンチエイジング",5000-150000
"アンダーカバー",アパレル,"デザイナーズファッション、服",10000-50000
"ビーンズ六本木ヒルズ店",カフェ,"コーヒー、スイーツ",300-1500
"東急ストア",スーパーマーケット,"食品、日用品",100-20000
"ヒルズ マルシェ",市場,"フレッシュフード、農産物",200-5000
"ニコス",レストラン,"イタリア料理",5000-25000
"シネスイッチ銀座",映画館,"映画鑑賞",1500-2500
"筋肉スト",フィットネス,"ジム、フィットネスクラス",2000-8000/月
"LOFT",雑貨店,"文房具、雑貨",100-15000
"金のとりや",レストラン,"焼き鳥、日本酒",2000-10000
"六本木ヒルズ デンタルクリニック",医療,"歯科診療",3000-20000
"六本木ヒルズ フットケアサロン",サロン,"フットケア、マッサージ",3000-10000
"モリタワー オプティカル",眼鏡店,"メガネ、コンタクトレンズ",5000-50000
"アールデコ",美容室,"カット、カラー、パーマ",5000-25000
"神戸牛 六本木焼肉KINTAN",レストラン,"焼肉、韓国料理",5000-30000
"新宿屋",書店,"本、雑誌",300-5000
"ブルーボトルコーヒー",カフェ,"スペシャリティコーヒー",400-2000
"ヨガワークス",フィットネス,"ヨガクラス、メディテーション",2500-10000/月
"三省堂書店",書店,"本、文房具",500-15000
"鳥貴族",レストラン,"焼き鳥、居酒屋メニュー",1000-5000
"ツムツムネイル",ネイルサロン,"ネイルアート、マニキュア",3000-15000
"マックスマーラ",アパレル,"高級ファッション、アクセサリー",10000-150000
"コージーコーナー",カフェ,"ケーキ、デザート",400-2500
"ザ・ボディショップ",美容製品,"スキンケア、ボディケア",1000-10000
"フレッドペリー",アパレル,"ファッションアイテム、服",5000-30000
"アンダーアーマー",アパレル,"スポーツウェア、シューズ",2000-15000
"ピザスライス",レストラン,"ピザ、ドリンク",1000-4000
"アフタヌーンティー",カフェ,"ティー、ケーキ",500-2500
"モスバーガー",ファーストフード,"ハンバーガー、ドリンク",300-1500
"フィットネスアカデミー",フィットネス,"ジム、トレーニング",3000-10000/月
"フレンチトーストファクトリー",カフェ,"フレンチトースト、コーヒー",800-2500
"トゥルーラルージュ",美容室,"カット、トリートメント",5000-20000
